                   !    
[1, 0,  0,  0, 0,  0,  0, 0,  0,  0, 0, 0,  0, 0, 0,  0,  0,  0]
[2, 0,  0,  0, 0,  0,  0, 0,  0,  2, 0, 0,  0, 0, 0,  0,  0,  0]
[3, 0,  0,  3, 0,  0,  0, 0,  0,  3, 0, 0,  0, 0, 0,  0,  0,  0]
[3, 4,  0,  3, 4,  0,  0, 0,  0,  4, 0, 0,  0, 0, 0,  0,  0,  0]
[3, 4,  5,  3, 4,  5,  0, 0,  0,  5, 0, 0,  0, 0, 0,  0,  0,  0]
[4, 4,  5,  3, 4,  5,  0, 0,  0,  5, 4, 0,  0, 0, 0,  0,  0,  0]
[5, 4,  5,  3, 4,  5,  5, 0,  0,  5, 5, 0,  0, 0, 0,  0,  0,  0]
[5, 6,  5,  3, 4,  5,  5, 6,  0,  5, 6, 0,  0, 0, 0,  0,  0,  0]
[5, 6,  7,  3, 4,  5,  5, 6,  7,  5, 7, 0,  0, 0, 0,  0,  0,  0]
[6, 6,  7,  3, 4,  5,  5, 6,  7,  5, 7, 0,  0, 0, 0,  0,  0,  0]
[6, 6,  7,  4, 4,  5,  5, 6,  7,  5, 7, 0,  4, 0, 0,  0,  0,  0]
[6, 6,  7,  5, 4,  5,  5, 6,  7,  5, 7, 0,  5, 0, 0,  0,  0,  0]
[6, 7,  7,  5, 7,  5,  5, 6,  7,  5, 7, 0,  7, 0, 0,  0,  0,  0]
[6, 7,  8,  5, 7,  8,  5, 6,  7,  5, 7, 0,  8, 0, 0,  0,  0,  0]
[6, 7,  8,  5, 7,  8,  6, 6,  7,  5, 7, 0,  8, 6, 0,  0,  0,  0]
[6, 7,  8,  5, 7,  8,  7, 6,  7,  5, 7, 0,  8, 7, 0,  0,  0,  0]
[6, 8,  8,  5, 7,  8,  7, 8,  7,  5, 7, 0,  8, 8, 0,  0,  0,  0]
[6, 8,  9,  5, 7,  8,  7, 8,  9,  5, 7, 0,  8, 9, 0,  0,  0,  0]
[6, 8,  9,  5, 8,  8,  7, 8,  9,  5, 7, 0,  8, 9, 0,  0,  0,  0]
[6, 8,  9,  5, 9,  8,  7, 8,  9,  5, 7, 9,  8, 9, 0,  0,  0,  0]
[6, 8,  9,  5, 10, 8,  7, 10, 9,  5, 7, 10, 8, 9, 0,  0,  0,  0]
[6, 8,  9,  5, 10, 11, 7, 10, 11, 5, 7, 11, 8, 9, 0,  0,  0,  0]
[6, 8,  9,  5, 11, 11, 7, 10, 11, 5, 7, 11, 8, 9, 0,  0,  0,  0]
[6, 9,  9,  5, 11, 11, 7, 10, 11, 5, 7, 11, 8, 9, 9,  0,  0,  0]
[6, 10, 9,  5, 11, 11, 7, 10, 11, 5, 7, 11, 8, 9, 10, 0,  0,  0]
[6, 10, 12, 5, 11, 12, 7, 10, 11, 5, 7, 11, 8, 9, 12, 0,  0,  0]
[6, 10, 12, 5, 11, 12, 7, 11, 11, 5, 7, 11, 8, 9, 12, 11, 0,  0]
[6, 10, 12, 5, 11, 12, 7, 12, 11, 5, 7, 11, 8, 9, 12, 12, 0,  0]
[6, 10, 12, 5, 11, 13, 7, 12, 13, 5, 7, 11, 8, 9, 12, 13, 0,  0]
[6, 10, 13, 5, 11, 13, 7, 12, 13, 5, 7, 11, 8, 9, 12, 13, 13, 0]
[6, 10, 14, 5, 11, 13, 7, 12, 13, 5, 7, 11, 8, 9, 12, 13, 14, 0]
[6, 10, 14, 5, 11, 14, 7, 12, 13, 5, 7, 11, 8, 9, 12, 13, 14, 14]
[6, 10, 14, 5, 11, 15, 7, 12, 13, 5, 7, 11, 8, 9, 12, 13, 14, 15]
r: 3, CCNOT: 14, depth: 15, max depth qbits: [5, 17]/18, corresponding to ['H[1,2]', 'C[5]']
