r: 3, CCNOT: 14, depth: 15, max depth qbits: [5, 17]/18, corresponding to ['H[1,2]', 'C[5]']
r: 55, CCNOT: 135630, depth: 4565, max depth qbits: [2969, 7479]/7480, corresponding to ['H[53,54]', 'C[2969]']
r: 56, CCNOT: 143220, depth: 4732, max depth qbits: [3079, 7755]/7756, corresponding to ['H[54,55]', 'C[3079]']
r: 57, CCNOT: 151088, depth: 4902, max depth qbits: [3191, 8036]/8037, corresponding to ['H[55,56]', 'C[3191]']
r: 58, CCNOT: 159239, depth: 5075, max depth qbits: [3305, 8322]/8323, corresponding to ['H[56,57]', 'C[3305]']
r: 59, CCNOT: 167678, depth: 5251, max depth qbits: [3421, 8613]/8614, corresponding to ['H[57,58]', 'C[3421]']
r: 60, CCNOT: 176410, depth: 5430, max depth qbits: [3539, 8909]/8910, corresponding to ['H[58,59]', 'C[3539]']
r: 61, CCNOT: 185440, depth: 5612, max depth qbits: [3659, 9210]/9211, corresponding to ['H[59,60]', 'C[3659]']
r: 62, CCNOT: 194773, depth: 5797, max depth qbits: [3781, 9516]/9517, corresponding to ['H[60,61]', 'C[3781]']
r: 63, CCNOT: 204414, depth: 5985, max depth qbits: [3905, 9827]/9828, corresponding to ['H[61,62]', 'C[3905]']
r: 64, CCNOT: 214368, depth: 6176, max depth qbits: [4031, 10143]/10144, corresponding to ['H[62,63]', 'C[4031]']
r: 65, CCNOT: 224640, depth: 6370, max depth qbits: [4159, 10464]/10465, corresponding to ['H[63,64]', 'C[4159]']
r: 66, CCNOT: 235235, depth: 6567, max depth qbits: [4289, 10790]/10791, corresponding to ['H[64,65]', 'C[4289]']
r: 67, CCNOT: 246158, depth: 6767, max depth qbits: [4421, 11121]/11122, corresponding to ['H[65,66]', 'C[4421]']
r: 68, CCNOT: 257414, depth: 6970, max depth qbits: [4555, 11457]/11458, corresponding to ['H[66,67]', 'C[4555]']
r: 69, CCNOT: 269008, depth: 7176, max depth qbits: [4691, 11798]/11799, corresponding to ['H[67,68]', 'C[4691]']
r: 70, CCNOT: 280945, depth: 7385, max depth qbits: [4829, 12144]/12145, corresponding to ['H[68,69]', 'C[4829]']
r: 71, CCNOT: 293230, depth: 7597, max depth qbits: [4969, 12495]/12496, corresponding to ['H[69,70]', 'C[4969]']
r: 72, CCNOT: 305868, depth: 7812, max depth qbits: [5111, 12851]/12852, corresponding to ['H[70,71]', 'C[5111]']
r: 73, CCNOT: 318864, depth: 8030, max depth qbits: [5255, 13212]/13213, corresponding to ['H[71,72]', 'C[5255]']
r: 74, CCNOT: 332223, depth: 8251, max depth qbits: [5401, 13578]/13579, corresponding to ['H[72,73]', 'C[5401]']
r: 75, CCNOT: 345950, depth: 8475, max depth qbits: [5549, 13949]/13950, corresponding to ['H[73,74]', 'C[5549]']
r: 76, CCNOT: 360050, depth: 8702, max depth qbits: [5699, 14325]/14326, corresponding to ['H[74,75]', 'C[5699]']
r: 77, CCNOT: 374528, depth: 8932, max depth qbits: [5851, 14706]/14707, corresponding to ['H[75,76]', 'C[5851]']
r: 78, CCNOT: 389389, depth: 9165, max depth qbits: [6005, 15092]/15093, corresponding to ['H[76,77]', 'C[6005]']
r: 79, CCNOT: 404638, depth: 9401, max depth qbits: [6161, 15483]/15484, corresponding to ['H[77,78]', 'C[6161]']
r: 80, CCNOT: 420280, depth: 9640, max depth qbits: [6319, 15879]/15880, corresponding to ['H[78,79]', 'C[6319]']
r: 81, CCNOT: 436320, depth: 9882, max depth qbits: [6479, 16280]/16281, corresponding to ['H[79,80]', 'C[6479]']
